Time,T1,T2,U1,U2,SP1,SP2
1925.04,21.594099999999997,21.594099999999997,2.289594265064382,2.2895942650644026,21.67,21.67
1930.05,21.9164,21.594099999999997,2.2895948592195956,0,21.67,21.67
1940.02,21.9164,21.594099999999997,0,2.386821152288721,21.67,21.67
1945.03,21.9164,21.594099999999997,0,0,21.67,21.67
1950.01,21.9164,21.594099999999997,0,2.386823520071975,21.67,21.67
1955.01,21.9164,21.594099999999997,0,2.289600495795897,21.67,21.67
1960.06,21.9164,21.594099999999997,0,0,21.67,21.67
1970.03,21.594099999999997,21.9164,0,0,21.67,21.67
1975.02,21.9164,21.9164,2.3868436348296647,2.386843634829682,21.67,21.67
1980.0,21.594099999999997,21.594099999999997,2.289633822969912,2.2896338229699555,21.67,21.67
1990.04,21.9164,21.594099999999997,0,0,21.67,21.67
1995.02,21.594099999999997,21.594099999999997,46.14302548389638,46.143025483898896,21.67,21.67
2000.03,21.9164,21.9164,36.728178311767834,36.728178311767834,21.67,21.67
